links,url,text
LIVE UPDATES: Joe Biden has yet to declare Uyghur abuses genocide,https://www.foxnews.com/politics/joe-biden-live-updates-2-24-2021,"The BBC reported this month that women in those camps have been systematically raped, sexually abused and tortured. Europe increases pressure on the Chinese Communist government."
LIVE UPDATES: Joe Biden has yet to declare Uyghur abuses genocide,https://www.foxnews.com/politics/joe-biden-live-updates-2-24-2021,"Biden, who vowed to be tough on China while on the campaign trail, has been careful not to classify the human rights abuses against the Uyghurs since entering office. The Trump administration declared the actions by the Chinese Communist Party (CCP) as genocide one day before vacating the White House."
Neera Tanden committee votes abruptly delayed as Biden budget pick’s nomination in jeopardy,https://www.foxnews.com/politics/neera-tanden-committee-votes-postponed-as-nomination-on-rocks,This is a developing story. Please check back for updates.
Iranian refugee slams John Kerry's 'anti-American' backdoor meetings with Iran during Trump admin,https://www.foxnews.com/politics/iran-john-kerry-backdoor-meetings-trump-nuclear-deal-anti-american,Cohanim said that the maximum pressure campaign under the Trump administration to hold the Iranians accountable was one of the strongest on the regime in American history and has brought the country to its weakest point in 43 years.
Biden’s 100-day deportation moratorium indefinitely banned by judge,https://www.foxnews.com/politics/bidens-100-day-deportation-moratorium-judge,"The administration has since issued guidance to ICE agents, informing them that they will need preapproval from managers to arrest some illegal immigrants if they do not fall into the categories similar to those that were also exempted from the deportation freeze."
"CPAC readies for Florida gathering amid COVID-19, as conservatives ready for Trump bonanza",https://www.foxnews.com/politics/cpac-readies-for-florida-gathering-amid-covid-as-conservatives-ready-for-trump-bonanza,"""It was a very intentional decision to go to Florida,"" American Conservative Union President Matt Schlapp told Fox News."
LIVE UPDATES: Joe Biden has yet to declare Uyghur abuses genocide,https://www.foxnews.com/politics/joe-biden-live-updates-2-24-2021,Follow below for more updates on the Biden White House. Mobile users click here.
Iranian refugee slams John Kerry's 'anti-American' backdoor meetings with Iran during Trump admin,https://www.foxnews.com/politics/iran-john-kerry-backdoor-meetings-trump-nuclear-deal-anti-american,"Zarif held meetings with Obama administration veterans who could return to power ""to devise a political strategy to undermine the Trump administration"" and usher in softer diplomacy between the U.S. and Iran."
Cuomo raises eyebrows with ‘anatomy’ joke during vaccination tour,https://www.foxnews.com/politics/cuomo-raises-eyebrows-with-anatomy-joke-during-vaccination-tour,"""I get to select the part of the anatomy where I do the vaccine,"" Cuomo said during a tour of a vaccine site in Queens. ""You'll be surprised, maybe not, when you see the part of the anatomy that I pick."""
Neera Tanden committee votes abruptly delayed as Biden budget pick’s nomination in jeopardy,https://www.foxnews.com/politics/neera-tanden-committee-votes-postponed-as-nomination-on-rocks,"The office of Sen. Lisa Murkowski, R-Alaska, did not immediately respond to a request for comment on whether she'd made a decision on how she will vote on the Tanden nomination. Murkowski is considered one of the last Republicans who may vote for Tanden, thus canceling out the Manchin defection and allowing Tanden to be confirmed."
House Republicans request FBI briefing on Swalwell ties to alleged Chinese spy,https://www.foxnews.com/politics/house-republicans-fbi-briefing-swalwell-chinese-spy,"Fang’s earliest known engagement with Swalwell occurred through the Chinese Student Association, Axios reported, and by 2014, she had developed ""close ties"" to Swalwell’s office. Fang is also reported to have placed at least one intern in Swalwell’s office and interacted with him at multiple events over several years."
Iranian refugee slams John Kerry's 'anti-American' backdoor meetings with Iran during Trump admin,https://www.foxnews.com/politics/iran-john-kerry-backdoor-meetings-trump-nuclear-deal-anti-american,"Meanwhile, Republicans are criticizing Biden's decision to give up on a Trump-era push to reimpose United Nations sanctions on Iran as the administration appears to take a lighter approach to the regime."
"CPAC readies for Florida gathering amid COVID-19, as conservatives ready for Trump bonanza",https://www.foxnews.com/politics/cpac-readies-for-florida-gathering-amid-covid-as-conservatives-ready-for-trump-bonanza,"""We considered other states, Tennessee, Georgia Florida, Texas ... Florida just seems like the obvious place,"" he said. ""You know, the city of Orlando obviously has got the infrastructure to take a big conference. I mean, Las Vegas would have too, but ... the governor there just makes it impossible, is basically making it impossible for any business to be open, whereas the governor of Florida is doing just the opposite."""
"NY Democrat says phone call from Cuomo was ‘terrorizing moment,’ left wife ‘crying and shaking’",https://www.foxnews.com/politics/ron-kim-democrat-phone-call-cuomo-wife-crying,"""The angels are on our side. And that’s the bottom line,"" she added."
Cuomo raises eyebrows with ‘anatomy’ joke during vaccination tour,https://www.foxnews.com/politics/cuomo-raises-eyebrows-with-anatomy-joke-during-vaccination-tour,CLICK HERE FOR THE FOX NEWS APP
Iranian refugee slams John Kerry's 'anti-American' backdoor meetings with Iran during Trump admin,https://www.foxnews.com/politics/iran-john-kerry-backdoor-meetings-trump-nuclear-deal-anti-american,"During an appearance on ""Fox and Friends,"" the former State Department special envoy called the Biden administration’s talks with Iran to reenter the nuclear deal ""diplomatic malpractice"" and urged them to stop making unilateral concessions and instead increase demands on the Iranian regime."
"NY Democrat says phone call from Cuomo was ‘terrorizing moment,’ left wife ‘crying and shaking’",https://www.foxnews.com/politics/ron-kim-democrat-phone-call-cuomo-wife-crying,"""They admitted to potentially obstructing justice by hiding information from the Department of Justice for political reasons,"" he said, noting that officials have a duty to cooperate with federal law enforcement whether they disagree politically with the president in power."
LIVE UPDATES: Joe Biden has yet to declare Uyghur abuses genocide,https://www.foxnews.com/politics/joe-biden-live-updates-2-24-2021,"According to reports last year, up to 3 million Uyghur Muslims in China's western Xinjiang province have been taken from their homes since 2017 by authorities and disappeared into a prison camp, which the Chinese government glosses over as a re-education facility."
Gov. Cuomo accused of sexual harassment by former aide,https://www.foxnews.com/politics/cuomo-ex-aide-accuses-scandal-plagued-ny-governor-of-pervasive-sexual-harassment-in-bombshell-essay,"""Governor Cuomo must immediately resign,"" she continued. ""And any elected official who does not immediately call for his resignation is complicit in allowing a sexual predator to continue leading the great state of New York."
"CPAC readies for Florida gathering amid COVID-19, as conservatives ready for Trump bonanza",https://www.foxnews.com/politics/cpac-readies-for-florida-gathering-amid-covid-as-conservatives-ready-for-trump-bonanza,"Rep. Matt Gaetz, R-Fla., who in the aftermath of Cheney's impeachment vote flew to Wyoming just to hold a political rally against Cheney, will be attending the conference."
Gov. Cuomo accused of sexual harassment by former aide,https://www.foxnews.com/politics/cuomo-ex-aide-accuses-scandal-plagued-ny-governor-of-pervasive-sexual-harassment-in-bombshell-essay,"""The Governor began calling me 'Lisa' in front of colleagues. It was degrading,"" Boylan wrote, including screenshots of the email exchange between her and Benton."
"CPAC readies for Florida gathering amid COVID-19, as conservatives ready for Trump bonanza",https://www.foxnews.com/politics/cpac-readies-for-florida-gathering-amid-covid-as-conservatives-ready-for-trump-bonanza,"For many, the Conservative Political Action Conference (CPAC) is essentially one of the last major in-person events without masks or coronavirus pandemic restrictions before the shutdown began."
Gov. Cuomo accused of sexual harassment by former aide,https://www.foxnews.com/politics/cuomo-ex-aide-accuses-scandal-plagued-ny-governor-of-pervasive-sexual-harassment-in-bombshell-essay,"She wrote in her Wednesday essay that she expects ""the Governor and his top aides will attempt to further disparage me, just as they’ve done with Assemblymember Kim"" — who came forward in recent weeks with his own accusations against the governor of bullying and threatening him."
Iranian refugee slams John Kerry's 'anti-American' backdoor meetings with Iran during Trump admin,https://www.foxnews.com/politics/iran-john-kerry-backdoor-meetings-trump-nuclear-deal-anti-american,CLICK HERE TO GET THE FOX NEWS APP
"CPAC readies for Florida gathering amid COVID-19, as conservatives ready for Trump bonanza",https://www.foxnews.com/politics/cpac-readies-for-florida-gathering-amid-covid-as-conservatives-ready-for-trump-bonanza,"""We are in a battle for the soul of the Republican party and I intend to win it,"" Gaetz said at the Wyoming rally. ""You can help me. You can help me break a corrupt system. You can send a representative who actually represents you and you can send Liz Cheney home -- back home to Washington, D.C."""
Dozens of House Democrats want Biden to give up sole authority to launch nuclear weapons,https://www.foxnews.com/politics/democrats-biden-rescind-sole-nuclear-capabilities,The football was passed over a long distance when Biden took office after Trump because the former president did not attend the new president's Inauguration. It is usually handed off between presidents on Inauguration Day.
Neera Tanden committee votes abruptly delayed as Biden budget pick’s nomination in jeopardy,https://www.foxnews.com/politics/neera-tanden-committee-votes-postponed-as-nomination-on-rocks,Fox News' Jason Donner contributed to this report.
"NY Democrat says phone call from Cuomo was ‘terrorizing moment,’ left wife ‘crying and shaking’",https://www.foxnews.com/politics/ron-kim-democrat-phone-call-cuomo-wife-crying,"""It’s a pattern of his abusive behavior,"" Kim, D-Queens, told ""Fox & Friends"" on Wednesday. ""It’s also his abuse of power in his position, calling me at eight o’clock while I was just getting ready to bathe my kids with my wife and berating me for ten minutes, which seemed like one hour at the time, and putting my wife in shock for two hours where she was literally crying and shaking."""
"CPAC readies for Florida gathering amid COVID-19, as conservatives ready for Trump bonanza",https://www.foxnews.com/politics/cpac-readies-for-florida-gathering-amid-covid-as-conservatives-ready-for-trump-bonanza,"Notably absent at CPAC are any Republicans who have been vocally critical of Trump. Sens. Mitt Romney, R-Utah and Ben Sasse, R-Neb., won't be present. Neither will Rep. Liz Cheney, R-Wyo., who was the highest-ranking House Republican to vote to impeach Trump earlier this year."
