links,url,text
"'Merci, mon ami': Biden, Trudeau renew bilateral bond post-Trump",https://www.politico.com/news/2021/02/23/biden-trudeau-meeting-471312,"So after four years of trade wars, name-calling and international gossiping, President Joe Biden and Canadian Prime Minister Justin Trudeau weren’t going to let a global pandemic get in the way of a public display of mutual affection, even if it had to happen over video link."
Democrats' $1.9T Covid aid bill faces the Senate chopping block,https://www.politico.com/news/2021/02/24/democrats-covid-stimulus-budget-senate-471324,"MacDonough will dissect the budget impact of each piece of Biden’s bill, in addition to considering a number of other esoteric related issues. That includes rules limiting the cost of any provision outside of a 10-year window, and much murkier, subjective restrictions that prevent policies from essentially outgrowing their budget effects."
"Lawrence Ferlinghetti, poet and activist, dies at 101",https://www.politico.com/news/2021/02/23/lawrence-ferlinghetti-poet-activist-dies-471233,"“The dominant American mercantile culture may globalize the world, but it is not the mainstream culture of our civilization,” Ferlinghetti said upon receiving the award. “The true mainstream is made, not of oil, but of literarians, publishers, bookstores, editors, libraries, writers and readers, universities and all the institutions that support them.”"
‘It can only get better’: Linda Thomas-Greenfield headed to crisis-plagued U.N.,https://www.politico.com/news/2021/02/23/un-ambassador-linda-thomas-greenfield-471172,U.N. officials told POLITICO they hope to see both a return of American leadership and a back payment of unpaid American U.N. dues under Thomas-Greenfield’s leadership.
Judge rips Capitol rioter’s Trump defense,https://www.politico.com/news/2021/02/23/capitol-rioters-judge-proud-boys-trump-471199,"At numerous bail hearings in the Capitol-riot-related cases now flooding the court, just blocks from the site of the Jan. 6 violence, the chief judge has sometimes offered vivid condemnations of the attack and deplored how the episode has disrupted life in the city and the country."
Stephen Miller set to brief House conservatives,https://www.politico.com/news/2021/02/23/stephen-miller-house-conservatives-471301,"The main salvo will be delivered this weekend when Trump is set to address the Conservative Political Action Conference and devote part of his speech to the topic. But days before then, the architect of Trump’s immigration policy, Stephen Miller, will discuss the issue with conservative House members as they organize their opposition to Biden’s planned changes to Trump-era immigration regulations and his recently unveiled blueprint for comprehensive immigration reform legislation."
"House Freedom Caucus opposes earmarks, setting up internal GOP debate",https://www.politico.com/news/2021/02/24/house-freedom-caucus-opposes-earmarks-471344,"But Republicans — who first banned earmarks when they took over the House majority following the 2010 Tea Party wave — have been divided over the issue, with some warming to the idea in recent years. While the practice is still formally prohibited under current House GOP conference rules, some Republicans have argued that allowing lawmakers to ensure money for specific projects restores power to the legislative branch and could help make the institution more functional."
The Hard Truth About Memorializing the Pandemic,https://www.politico.com/news/magazine/2021/02/23/the-hard-truth-about-memorializing-the-pandemic-471197,"The cultural vogue to commemorate and memorialize has expanded since 1918, with monuments springing up everywhere to mark important events, so pop-up Covid-19 monuments may be in the offing. During Inauguration Week, Joe Biden and Kamala Harris observed moments of silence alongside their spouses at the Lincoln Memorial reflection pool, where 400 lanterns temporarily marked the deaths of 400,000 from the virus. The New York Times has already venerated the Covid-19 dead with two tributes, the first being a May 2020 complete list of the first 100,000 Americans to die from the virus, which took up all of Page One before it jumped inside, and the second, a graphic published Sunday that represented each of the first 500,000 to die with a black dot."
Neera Tanden's Senate committee votes postponed,https://www.politico.com/news/2021/02/24/neera-tanden-committee-vote-postponed-471321,"The Congressional Black Caucus is also preparing to send a letter to the White House pushing for her nomination to the helm of OMB, should Tanden’s nomination get pulled, according to a former senior aide."
The Hard Truth About Memorializing the Pandemic,https://www.politico.com/news/magazine/2021/02/23/the-hard-truth-about-memorializing-the-pandemic-471197,"Surely somebody will attempt to mark the cataclysm with a play or an art work, but the odds are long that the effort will stick. Despite the yearlong dislocations and the saturation media coverage, the trauma of the coronavirus pandemic will soon recede, more likely than not, and fade like painted advertisements on brick walls, leaving behind only a flicker of the current terror. We will nod gravely when reminded of the losses suffered and share the stories of friends and family who died too soon. But in the absence of a media prompt or other reminder, we will sequester the Covid-19 pandemic in history books and refer to it mostly when fresh viral eruptions strike. We will forget about it."
What we know — and still don't — as Congress starts its Jan. 6 investigation,https://www.politico.com/news/2021/02/24/january-6-capitol-riot-investigation-471196,"Past tweets and commentary from Honoré show he was harshly critical of Sund, the sergeants-at-arms and of the police officers themselves, calling them complicit in the violence by virtue of their actions. Honoré had also attacked Republicans who led the charge to challenge the certification of the 2020 election results, including suggesting that Sen. Josh Hawley (R-Mo.) should be driven out of D.C. for contesting the certification."
Texas disaster puts Beto O’Rourke back in business,https://www.politico.com/news/2021/02/24/beto-orourke-texas-governor-471254,"For his part, O’Rourke on Saturday drove nine hours from his home in El Paso, which was spared the worst of the storm’s effects, to Austin, and by Tuesday was in the Rio Grande Valley, bringing water to people and checking on them at their doors. He called the drive to Austin the “El Paso to Austin straight-shot telethon,” as an adviser updated viewers on where they were and how much money had been raised."
'Bad politics for them': GOP sneers at Dem Covid bill,https://www.politico.com/news/2021/02/23/bad-politics-for-them-gop-sneers-at-dem-covid-bill-471245,"“If it’s in its current contours, it’s hard to see many, if any, Republicans being for it,” said Senate Minority Whip John Thune (R-S.D.)."
Top Senate Republican has 'serious concerns' over Pentagon policy pick,https://www.politico.com/news/2021/02/23/colin-kahl-senate-republican-pentagon-471268,"The news comes as the committee plans to hold a confirmation hearing on March 4 for Kahl, according to three congressional aides."
"'Merci, mon ami': Biden, Trudeau renew bilateral bond post-Trump",https://www.politico.com/news/2021/02/23/biden-trudeau-meeting-471312,"There may not have been handshakes, but the tone was warm. “The United States has no closer friend, no closer, than Canada,” Biden said."
What we know — and still don't — as Congress starts its Jan. 6 investigation,https://www.politico.com/news/2021/02/24/january-6-capitol-riot-investigation-471196,And all four witnesses were clear that they considered the Jan. 6 event to be an insurrection aided by white supremacists.
Neera Tanden's Senate committee votes postponed,https://www.politico.com/news/2021/02/24/neera-tanden-committee-vote-postponed-471321,"“She would have my support, and I suspect many of my Republican colleagues would support her, as well,” the Alabama Republican said. “But that’s up to the Biden administration.“"
The Hard Truth About Memorializing the Pandemic,https://www.politico.com/news/magazine/2021/02/23/the-hard-truth-about-memorializing-the-pandemic-471197,"But these acts of commemoration aren’t likely to lead to permanent monuments where we gather for reflection. By convention, we erect most of our monuments to salute the heroic spirit, or acknowledge acts of sacrifice of statue-genic soldiers, police, and firefighters or illustrate national ideals, such as the Statue of Liberty or the Gateway Arch. Since the 9/11 attacks especially, first responders have deservedly acquired heroic stature they never possessed before, so we can expect that the medical responders—from doctors to janitors—who died from Covid-19 might be memorialized in granite sometime this decade. But the other 500,000? Even if they struggled heroically for their lives on their deathbeds, we’re not likely to formally institutionalize the memory of their passing because it’s not our way. We quickly forgot the influenza pandemic of 1918, recalling most palpably only when similar viral threats surfaced in 1957, 1976 and 2003, but then put the deaths out of mind as the crises passed. Our stinginess about building shrines to honor of people who died from disease is illustrated by our reaction to the AIDS catastrophe. The AIDS quilt marked the deaths from that epidemic in the late 1980s, touring 20 cities. (As of last year, the quilt had grown to 1.2 million square feet and is stored in an Oakland, Calif., warehouse.) Yet no permanent monument to the 700,000 Americans (and counting) to die from that virus exists, although an initiative to build such a place has taken root in Southern California."
Former Florida congressman fined $456K for campaign scheme,https://www.politico.com/news/2021/02/23/former-florida-lawmaker-fined-450k-by-fec-471244,The FEC alleged in a civil lawsuit that Rivera secretly carried out a scheme during a 2012 congressional primary to fund the campaign of Democratic candidate Justin Lamar Sternad in an effort to weaken the campaign of opponent Joe Garcia.
'Bad politics for them': GOP sneers at Dem Covid bill,https://www.politico.com/news/2021/02/23/bad-politics-for-them-gop-sneers-at-dem-covid-bill-471245,"Republicans have zeroed in on the school reopening debate, framing it as a dire academic and mental health issue for both children and parents. And while the Covid relief package includes $128 billion for schools to deal with the virus, Republicans note that most of the money won’t be spent until 2022 or later, according to the nonpartisan Congressional Budget Office, while pots of money from previous bills remain unspent."
Judge rips Capitol rioter’s Trump defense,https://www.politico.com/news/2021/02/23/capitol-rioters-judge-proud-boys-trump-471199,"Chrestman faces a series of felony charges, including conspiracy to interfere with police during civil disorder and to obstruct an official proceeding. He’s also charged with threatening police while carrying a dangerous weapon. Prosecutors say he wielded an axe handle during the riot, using it to block emergency shutters that police were trying to close to protect themselves. They also say he urged the crowd to prevent officers from arresting one of the protesters."
"Lawrence Ferlinghetti, poet and activist, dies at 101",https://www.politico.com/news/2021/02/23/lawrence-ferlinghetti-poet-activist-dies-471233,"Ferlinghetti, a San Francisco institution, died Monday at his home, his son Lorenzo Ferlinghetti said. A month shy of his 102nd birthday, Ferlinghetti died “in his own room,” holding the hands of his son and his son’s girlfriend, “as he took his last breath.” The cause of death was lung disease."
How the White House botched the Neera Tanden nomination,https://www.politico.com/news/2021/02/23/neera-tanden-confirmation-471265,"Lawmakers, meanwhile, felt little in the way of arm-twisting to get behind Tanden’s nomination. As of Monday, she had held 35 meetings with senators — though it was unclear with whom. Administration officials had sought early meetings with moderates like Manchin, but he didn’t speak with her before their meeting on Monday — after he’d already announced opposition to her nomination."
McConnell to support Garland for attorney general,https://www.politico.com/news/2021/02/23/mcconnell-merrick-garland-attorney-general-471177,"The Senate Judiciary Committee held a two-day confirmation hearing this week for Garland.Some Senate Republicans criticized Garland for not answering enough questions, but several have already announced their support for him to lead the Justice Department, including Sens. Thom Tillis (R-N.C.) and John Cornyn (R-Texas), a McConnell confidant. Iowa Sen. Chuck Grassley, the top Republican on the Senate Judiciary Committee, also spoke positively of Garland on Monday."
Judge rips Capitol rioter’s Trump defense,https://www.politico.com/news/2021/02/23/capitol-rioters-judge-proud-boys-trump-471199,"At a bail hearing Tuesday for a Proud Boy member from Kansas accused of storming the Capitol, Chief U.S. District Court Judge Beryl Howell said she was dubious about the legal merit of the effort to shift blame toward the former president and his inflammatory rhetoric about the election."
'Bad politics for them': GOP sneers at Dem Covid bill,https://www.politico.com/news/2021/02/23/bad-politics-for-them-gop-sneers-at-dem-covid-bill-471245,"“I don’t like that I have to vote against this bill,” Hinson said. But, she added: “It’s very clear Democrats didn’t want to come to the table on any of the issues. … Americans need to know what’s going on here.”"
The Hard Truth About Memorializing the Pandemic,https://www.politico.com/news/magazine/2021/02/23/the-hard-truth-about-memorializing-the-pandemic-471197,"The medical holocaust that is the Covid-19 pandemic—500,000 dead in the United States and 2.5 million worldwide—hasn’t even hit our rearview mirror yet. But as acquired immunity and vaccinations take hold, as the death rate and hospitalizations taper, and as normality returns as a life option, what sort of cultural dent will the outbreak, which has so far claimed numbers equal to the total population of Atlanta, leave in the American psyche? Will we build special places in our palace of memories for our recollections of the plague? Write panoramic novels about the disaster? Gather our children around campfires and tell them tales about the deadly struggle? Build monuments to the fallen?"
How the White House botched the Neera Tanden nomination,https://www.politico.com/news/2021/02/23/neera-tanden-confirmation-471265,"“Around here the opposition is always looking for the person that they can put a fight up about. And she would be the obvious one to cull from the herd,” said one Senate Democrat, referring to the wall of GOP opposition Tanden faced from the beginning."
Democrats' $1.9T Covid aid bill faces the Senate chopping block,https://www.politico.com/news/2021/02/24/democrats-covid-stimulus-budget-senate-471324,"Hiking the minimum wage to $15 an hour is on the docket, in addition to pension issues and subsidies meant to help laid-off workers remain on their health insurance plans. Democrats are hopeful for favorable rulings — and some progressives are determined to retool their proposals if they fall short, eager to get the biggest possible bill under budget rules that allow it to evade a Senate filibuster. But time to sort through potential pitfalls is running short, with House Democrats aiming to pass the package by the end of the week and congressional leaders hoping to send it to Biden’s desk before unemployment benefits expire in mid-March."
What we know — and still don't — as Congress starts its Jan. 6 investigation,https://www.politico.com/news/2021/02/24/january-6-capitol-riot-investigation-471196,"Irving appears to be at least partially correct: C-SPAN video shows he was on the floor at the precise moment the clock struck 1:09 p.m. But senators never raised that fact, and they were often so rushed to squeeze in multiple strains of questions that they left essential information unaddressed."
Democrats' $1.9T Covid aid bill faces the Senate chopping block,https://www.politico.com/news/2021/02/24/democrats-covid-stimulus-budget-senate-471324,"“We’ve got tens of millions of workers working for starvation wages,” Senate Budget Chairman Bernie Sanders (I-Vt.) told reporters on Tuesday."
Federal judge deals Biden another blow on 100-day deportation ban,https://www.politico.com/news/2021/02/24/texas-judge-biden-deportation-ban-471315,"“This ruling is legally wrong and will seriously harm families and communities around the country,” Wofsy said. “Texas’ suit is an attempt to deprive the Biden administration of a meaningful opportunity to review and assess immigration enforcement after years of living under lawless Trump policies.”"
Texas disaster puts Beto O’Rourke back in business,https://www.politico.com/news/2021/02/24/beto-orourke-texas-governor-471254,"During the general election last year, O'Rourke's organization said it registered some 200,000 people to vote. And Powered by People, which includes two longtime advisers from O'Rourke's political campaigns, was beginning a program to sign people up for coronavirus vaccines when the storm hit, prompting it to shift its focus to the relief effort. O’Rourke, through his group, has raised more than $1.4 million for the recovery, scrambled a legion of volunteers to knock on doors and, via phone banks, made more than 900,000 wellness checks on seniors."
Dems clash over Biden-era police bill after 'defund' attacks,https://www.politico.com/news/2021/02/24/democrats-defund-police-471201,"Moderate Democrats have proposed some ways to alter the bill's qualified immunity language, including holding police departments rather than individual officers liable in lawsuits. Some have cited a new law in Colorado, which limits officers' personal financial liability."
Top board leaders resign after deadly Texas power outages,https://www.politico.com/news/2021/02/23/board-leaders-of-texas-grid-operator-resign-after-outages-471202,"The other board members are vice chairman Peter Cramton, Terry Bulger and Raymond Hepper. Talberg lives in Michigan and Bulger lives in Wheaton, Illinois, according to their biographies on ERCOT's website. Cramton and Hepper spent their careers working outside Texas. The fifth board member leaving is Vanessa Anesetti-Parra."
How the White House botched the Neera Tanden nomination,https://www.politico.com/news/2021/02/23/neera-tanden-confirmation-471265,"For a while, the White House felt Tanden would avoid her current fate. She atoned for her now infamous Twitter behavior and put forward her personal story of a hardscrabble life, living on food stamps and raised by a single mother. And allies like former Democratic Senate Majority Leader Harry Reid, who consults frequently with the White House, predicted that both parties would get on board due to the historic nature of her nomination: Tanden would become the first South Asian woman to head up the agency. Inside the White House, endorsements from the Chamber of Commerce and former Indiana Gov. Mitch Daniels — an ex-OMB chief himself — were pushed out in hopes that they would give Republicans cover to back her."
Federal judge deals Biden another blow on 100-day deportation ban,https://www.politico.com/news/2021/02/24/texas-judge-biden-deportation-ban-471315,"A federal judge in Texas on Tuesday blocked President Joe Biden’s 100-day moratorium on most deportations, the latest blow to Biden on one of his signature campaign promises."
Neera Tanden's Senate committee votes postponed,https://www.politico.com/news/2021/02/24/neera-tanden-committee-vote-postponed-471321,"Sanders was not consulted before President Joe Biden's nomination of Tanden, according to a source close to the process."
How the White House botched the Neera Tanden nomination,https://www.politico.com/news/2021/02/23/neera-tanden-confirmation-471265,"But those bets weren’t supplemented by an aggressive lobbying effort on Tanden’s behalf. One senior Democratic Senate staffer complained that even early on in her confirmation fight, the White House was lackluster in its advocacy for her and tone-deaf to the chillier reception she was getting on the Hill. There were questions about how many champions she even had at 1600 Pennsylvania Avenue."
Romney: Trump will win 2024 GOP nomination if he runs,https://www.politico.com/news/2021/02/24/mitt-romney-trump-2024-gop-nomination-471316,"Romney was the only Republican senator to vote to convict Trump in his first impeachment trial last year for his dealings with Ukraine. And earlier this month, Romney and six other GOP colleagues found Trump guilty of inciting the Jan. 6 insurrection at the Capitol."
Judge rips Capitol rioter’s Trump defense,https://www.politico.com/news/2021/02/23/capitol-rioters-judge-proud-boys-trump-471199,"Howell said the fact that Chrestman came to D.C. with “a gas mask, a hard helmet and a club” strongly suggested he was expecting a violent confrontation. She also said his connection to the Proud Boys group meant he was dangerous."
Democrats' $1.9T Covid aid bill faces the Senate chopping block,https://www.politico.com/news/2021/02/24/democrats-covid-stimulus-budget-senate-471324,"Health insurance subsidies for laid-off workers face one of the tougher, more subjective Byrd tests — whether the effects on the federal budget are “merely incidental” to the policy being made."
Biden orders supply chain review for 4 industries,https://www.politico.com/news/2021/02/24/biden-executive-order-supply-chain-industries-471304,"Those reviews will be “modeled after the process the Defense Department uses to regularly evaluate and strengthen the defense industrial base,” the official said."
"Election officials defended the 2020 vote. In 2022, they’ll have to defend themselves.",https://www.politico.com/news/2021/02/23/2022-elections-secretary-of-state-471273,"But a senior adviser to a Republican secretary of state said the positions are garnering significantly more attention from large, well-funded groups with a stake in how elections are run — a designation that takes in a large slice of the political world."
‘It can only get better’: Linda Thomas-Greenfield headed to crisis-plagued U.N.,https://www.politico.com/news/2021/02/23/un-ambassador-linda-thomas-greenfield-471172,"“It can only get better,” said an adviser to Guterres who was not authorized to speak to the media. “We’re cautiously optimistic,” they added."
McConnell to support Garland for attorney general,https://www.politico.com/news/2021/02/23/mcconnell-merrick-garland-attorney-general-471177,The Senate Judiciary Committee will hold a committee vote on Garland’s nomination March 1 and Senate Majority Whip Dick Durbin said he is hoping for final confirmation next week.
Democrats' $1.9T Covid aid bill faces the Senate chopping block,https://www.politico.com/news/2021/02/24/democrats-covid-stimulus-budget-senate-471324,"Lowering the overall wage increase could satisfy centrists like Sen. Joe Manchin (D-W.Va.), who opposes the $15 figure and has instead pushed for an $11 hike."
Top Senate Republican has 'serious concerns' over Pentagon policy pick,https://www.politico.com/news/2021/02/23/colin-kahl-senate-republican-pentagon-471268,"During Kahl’s time in the White House, he was a key player in shaping the campaign against the Islamic State, and was a strong advocate of the Iran deal. He later warned that if President Donald Trump walked away from the agreement, as he did in 2018, Iran would ramp up its nuclear activities and regional provocations."
Top board leaders resign after deadly Texas power outages,https://www.politico.com/news/2021/02/23/board-leaders-of-texas-grid-operator-resign-after-outages-471202,"There are a total of 16 members on ERCOT's board, which appoints officers who manage the grid manager’s day-to-day operations."
